ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
2019285169,ted.europa.eu/udl?uri=TED:NOTICE:285169-2019:TEXT:EN:HTML,2019,3,17-JUN-19,R209.S3,0,0,N,OÖ Verkehrsverbund- Organisations GmbH Nfg. &amp; Co KG,,Volksgartenstraße 23,Linz an der Donau,4020,,AT,,N,,8,,Other,N,N,N,S,,N,,,N,60112000,,4,60112000,N,,8,71882404.88,71882404.88,71882404.88,N,NIC,,0,M,80,Qualität der Fahrzeuge (Alter und Zusatzausstattung),20,N,8,10565015,4,,N,N,Adelheid Leitner GmbH,,Arnreit 12,Arnreit,4122,AT,Y,4,"Los 4 Linienbündel Oberes Mühlviertel; Kleinzeller Kreuz; Kernnetz („OM"")",6,,,,,,11303134.75,11303134.75,Y,20-SEP-18
2019578640,ted.europa.eu/udl?uri=TED:NOTICE:578640-2019:TEXT:EN:HTML,2019,3,04-DEC-19,R209.S3,0,0,N,Republik Österreich (Bund); die Bundesbeschaffung GmbH (BBG); sowie alle weiteren AG im Sinne der §§ 4; 166 bis 168 BVergG 2018 mit Sitz in den Bundesländern Niederösterreich; Wien; Burgenland; Oberösterreich; Steiermark; Salzburg; Tirol; Vorarlberg; im Vergabeverfahren vertreten durch die BBG,210220y,Lassallestraße 9b,Wien,1020,,AT,,N,,8,,Other,Y,N,Y,U,,Y,,Y,N,34144210,,6,34144210,Y,,21,629560000.0,629560000,629560000,N,OPE,,0,M,0;00,Sollkriterien,0;00,N,21,11013496,6,,N,N,Magirus Lohr GmbH,156750s,Hönigtaler Straße 46,Kainbach bei Graz,8301,AT,N,6.1,5;3-5;5 t RFG o. WT,2,0,0,0,2,36040000,36040000,36040000,N,05-NOV-19
2019405880,ted.europa.eu/udl?uri=TED:NOTICE:405880-2019:TEXT:EN:HTML,2019,3,26-AUG-19,R209.S3,0,0,N,Stadtgemeinde Spittal an der Drau,0,Burgplatz 5,Spittal an der Drau,9800,,AT,,N,,3,,General public\services,N,N,N,W,,N,,,N,45232420,,,,N,,1,3948960.46,3948960.46,3948960.46,N,OPE,,0,M,80,Qualifikation des Schlüsselpersonals,20,N,1,10745303,,,N,N,Strabag AG,0,,Spittal,,AT,N,,,3,,,,,,3948960.46,3948960.46,N,02-JUL-19
2019546691,ted.europa.eu/udl?uri=TED:NOTICE:546691-2019:TEXT:EN:HTML,2019,3,15-NOV-19,R209.S3,0,0,N,Sozialhilfeverband Bruck-Mürzzuschlag,9110010517373,Gewerbepark 7,Oberaich,8600,,AT,,N,,3,,Social protection,N,N,N,U,,,,,,33192100,,,,,,4,,,,,OPE,,0,,,,,N,1,10958950,,PROCUREMENT_UNSUCCESSFUL,N,,,,,,,,,,,,,,,,,,0,,
2019416837,ted.europa.eu/udl?uri=TED:NOTICE:416837-2019:TEXT:EN:HTML,2019,3,03-SEP-19,R209.S3,0,0,N,Wildbach- und Lawinenverbauung Sektion Tirol Gebietsbauleitung Unteres Inntal,0,Innsbruckerstraße 19,Wörgl,6300,,AT,,N,,1,,General public\services,N,N,N,W,,N,,,N,45315000,,,45315000,Y,,1,619883.4,619883.4,619883.4,N,OPE,,0,M,80 %,Reaktionszeit Schlüsselpersonal---Verlängerung der Gewährleistungsfrist,10 %---10 %,N,1,10760081,,,N,N,Opbacher Installationen GmbH,0,,Fügen,,AT,N,,,2,,,,,,619883.4,619883.4,N,03-SEP-19
201933517,ted.europa.eu/udl?uri=TED:NOTICE:33517-2019:TEXT:EN:HTML,2019,3,21-JAN-19,R209.S3,0,0,N,Allgemeine Unfallversicherungsanstalt,,Adalbert Stifter-Straße 65,Wien,1200,,AT,,N,,6,,Other,Y,N,Y,U,,N,,,N,33141420,,1,33141400,N,,4,342844.0,342844,342844,N,OPE,,0,M,75,Preis,75,N,4,10226081,1,,N,N,Mölnlycke Health Care GmbH,,,Wien,1120,AT,Y,,Steriler OP-Handschuh,3,2,0,0,3,,257850,257850,N,21-JAN-19
2019204192,ted.europa.eu/udl?uri=TED:NOTICE:204192-2019:TEXT:EN:HTML,2019,3,29-APR-19,R209.S3,0,1,N,Die Republik Österreich (Bund); vertreten durch den Bundesminister für Finanzen; sowie die Finanzmarktsaufsichtbehörde und die Österreichische Nationalbank im Vergabeverfahren vertreten durch die Bundesbeschaffung GmbH,,Lassallestraße 9b,Wien,1020,,AT,,N,,6,,Economical anf Financial Affairs,Y,N,Y,S,,Y,,,N,79200000,,,79200000,Y,,1,1000000.0,100000,100000,N,OPE,,0,M,40,Qualität,60,N,1,10458605,,,N,N,Roland Berger GmbH,,Freyung 3/2/10,Wien,1010,AT,N,1,Begleitung der Aufsichtsreform,5,2,,,,,100000,100000,N,29-MAR-19
201999694,ted.europa.eu/udl?uri=TED:NOTICE:99694-2019:TEXT:EN:HTML,2019,3,27-FEB-19,R209.S3,0,0,N,Gemeinde Mittelberg,0,Walserstraße 52,Riezlern,6991,,AT,,N,,3,,General public\services,N,N,N,W,,N,,,N,45420000,,,45420000,Y,,1,151999.0,151979,151979,N,OPE,,0,M,96,Angebotene Gewährleistungsfrist,4,N,1,10322854,,,N,N,Robert Scholz Ladenbau,DE812629897,Unterwilhams 10,Missen-Wilhams,87541,DE,Y,,Sanierung und Erweiterung des Schulzentrums Riezlern – Tischlerarbeiten,5,5,3,,,151979,151979,151979,N,03-OCT-18
2019539631,ted.europa.eu/udl?uri=TED:NOTICE:539631-2019:TEXT:EN:HTML,2019,3,12-NOV-19,R209.S3,0,0,N,Allgemeine Unfallversicherungsanstalt (AUVA),,Adalbert-Stifter-Str. 65,Wien,1200,,AT,,N,,6,,Other,N,N,N,U,,N,,,N,33112000,,2,33112000,N,,3,303429.0,303430,303430,N,OPE,,0,M,70.00,Erfüllung von Leistungsmerkmalen---Netzwerk- und Dicom-Anforderungen an die Ultraschallgeräte,25.00---5.00,N,3,10948913,2,,N,N,Medizintechnik Ing. Franz Buczolits e. U.,,Sommeraugasse 155,Sittendorf,2393,AT,Y,0010490302,Ultraschallgerät für das Unfallkrankenhaus (UKH) Salzburg,1,1,,,1,,61213,61213,N,25-OCT-19
2019167706,ted.europa.eu/udl?uri=TED:NOTICE:167706-2019:TEXT:EN:HTML,2019,3,08-APR-19,R209.S3,0,0,N,Die Republik Österreich (Bund); sowie alle weiteren Auftraggeber im Sinne der §§ 4; 166 bis 168 BVerG 2018 im Bundesgebiet der Republik Österreich; im Vergabeverfahren alle vertreten durch die Bundesbeschaffung GmbH,,Lassallestraße 9b,Wien,1020,,AT,,N,,8,,Other,Y,N,Y,U,,Y,,Y,N,24951000,,1,24951000,Y,,3,4000000.0,4000000,4000000,N,OPE,,0,M,94,Leistungskriterien,6,N,3,10406975,1,,N,N,LSA Lubes Services GmbH &amp; Co.KG,,Ölhafen Lobau,Wien,1220,AT,Y,1,Schmiermittel Bgld/W/NÖ/OÖ/Sbg & Umgebung,4,4,,,,,2000000,2000000,N,19-FEB-19
2019446984,ted.europa.eu/udl?uri=TED:NOTICE:446984-2019:TEXT:EN:HTML,2019,3,19-SEP-19,R209.S3,0,0,N,Stadt Wien - Wiener Wohnen,0,Rosa-Fischer-Gasse 2,Wien,1030,,AT,,N,,3,,Housing and community amenities,N,N,N,W,,N,,,N,45330000,,17,45330000,Y,,36,89190391.8,83333041.59,83333041.59,N,OPE,,0,M,95 %,Verlängerung der Gewährleistungsfrist,5 %,N,36,10802355,17,,N,N,WEIBRICH Ges.m.b.H,9110016279008,Rennweg 41,Wien,1030,AT,Y,17,Gas-; Wasser- u. Heizungsinstallationsarbeiten 3.; 11. Bez. teilw.,28,,,,,,2542276.82,2542276.82,N,23-AUG-19
2019567364,ted.europa.eu/udl?uri=TED:NOTICE:567364-2019:TEXT:EN:HTML,2019,3,28-NOV-19,R209.S3,0,0,N,Arbeitsmarktservice Niederösterreich,0,Hohenstaufengasse 2,Wien,1010,,AT,,N,,6,,General public\services,N,N,N,S,,N,,,N,80400000,,5,80400000,N,,6,1066415.47,1066415.47,1066415.47,N,OPE,,0,M,50,Mehrere; siehe Ausschreibungsunterlage,50,N,6,10995646,5,,N,N,Mentor Management,9110016375892,,Wien,,AT,Y,5,Wiedereinstieg mit Zukunft Amstetten und Waidhofen/Ybbs,2,2,,,,,128481.23,128481.23,N,21-NOV-19
