ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
2020227684,ted.europa.eu/udl?uri=TED:NOTICE:227684-2020:TEXT:EN:HTML,2020,3,13-MAY-20,R209.S3,0,0,N,Caritasverband Arnsberg-Sundern e. V.,,Hellefelder Str. 27 - 29,Arnsberg,59821,A2   ,DE,DE,N,,8,,Social protection,N,N,N,S,DEA5,Y,,Y,N,60130000,60130,1,60130000,Y,1,6,0.01,0.01,0.01,N,OPE,,0,M,"80,00",Qualitätskonzept,"20,00",N,6,11521898,1,,N,N,Müller Reisen GmbH & Co KG,,Oben auf der Wiemhufe 8,Bestwig,59909,DE,Y,1.1,Region Alt-Arnsberg u. a.,1,1,0,0,1,,0.01,0.01,N,30-APR-20
201968902,ted.europa.eu/udl?uri=TED:NOTICE:68902-2019:TEXT:EN:HTML,2019,3,11-FEB-19,R209.S3,0,0,N,Handwerkskammer Dresden,DE,Am Lagerplatz 8,Dresden,01099,A2   ,DE,DE,N,,6,,Other,N,N,N,W,DED21,N,,N,N,45231112,45231,,44163111---42122220---45332000---45332400---44115100---44160000---44163000---44163120---45214310---45231113---45232460---39715300---44162500---65111000---44411800---42131400---45332300---45343100---39715000---44411300---44411700,Y,4,1,782922.19,782922.19,782922.19,N,OPE,,0,L,,,,N,1,10281868,,,N,N,Großenhainer Ausbau GmbH,,Radeburger Straße 40,Großenhain,01558,DE,Y,,CBH Los 403 Sanitär,5,,,,,,782922.19,782922.19,N,08-DEC-17
202214255,ted.europa.eu/udl?uri=TED:NOTICE:14255-2022:TEXT:EN:HTML,2022,3,06-JAN-22,R209.S5,0,0,N,EU-OPENSCREEN ERIC,,Robert-Rössle-Str. 10,Berlin,13125,,DE,,N,,8,,Other,N,N,N,S,DE3,N,,N,N,73111000,,7,73111000,Y,,9,1,1,1,N,AWP,,1,M,,"Adequate description and clarity of the assay.---Assay cost and timelines.---Assay validation experiments / Assay performance and sensitivity / Availability of assay validation data for assays.---Consumption of tested compounds.---Proven track record of the services provider, excellence of the provider.",20 % ---40 % ---30 % ---5 % ---5 % ,N,9,13891060,7,,N,N,Institute for Molecular Medicine Finland (FIMM),,,Helsinki,,FI,N,,Cell viability Cell-based ,5,,,,,,1,1,N,29-JUN-21
2022147391,ted.europa.eu/udl?uri=TED:NOTICE:147391-2022:TEXT:EN:HTML,2022,3,16-MAR-22,R209.S5,0,0,N,BwDLZ Zweibrücken,,22er Straße 25,Zweibrücken,66482,,DE,,N,,1,,General public\services,N,N,N,S,DEC04,Y,,Y,N,90911200,,1,90911200,N,,4,0.01,0.01,0.01,N,OPE,,0,L,,,,N,4,14173601,1,,N,N,SBL Dienstleistungen GmbH,,Herkeswald 11,Losheim am See,66679,DE,Y,1.1,Los 1 Saarlouis,9,9,0,0,5,,0.01,0.01,N,16-MAR-22
2022350653,ted.europa.eu/udl?uri=TED:NOTICE:350653-2022:TEXT:EN:HTML,2022,3,24-JUN-22,R209.S5,0,0,N,Kaufmännische Krankenkasse KKH,,Karl-Wiechert-Allee 61,Hannover,30625,,DE,,N,,6,,Health,N,N,N,S,DE92,N,,Y,N,72200000,,,,Y,,1,398557.5,398557.5,398557.5,N,OPE,,0,M,50,Leistung,50,N,1,14559720,,,N,N,esentri AG,,Pforzheimer Straße 128b,Ettlingen,76275,DE,Y,512146,Beschaffung von Dienstleistungen für: Einführung und Unterstützung der zentralen BPM Plattform Camunda,3,2,0,0,3,,398557.5,398557.5,N,31-MAR-22
2022297523,ted.europa.eu/udl?uri=TED:NOTICE:297523-2022:TEXT:EN:HTML,2022,3,31-MAY-22,R209.S5,0,0,N,"Stadt Halle (Saale) Fachbereich Recht, Abteilung Vergabe, Team Submission",DE 110/144/40390,Marktplatz 1,Halle (Saale),06108,,DE,,N,,3,,General public\services,N,N,N,U,DEE02,N,,N,N,34000000,,,,N,,1,214201.5,214201.5,214201.5,N,AWP,,1,L,,,,N,1,14452020,,,N,N,JENOPTIK Robot GmbH,,Opladener Str. 202,Monheim am Rhein,40789,DE,N,1,mobiles Geschwindigkeitsüberwachungssystem,1,0,0,0,1,,214201.5,214201.5,N,30-MAY-22
2021531137,ted.europa.eu/udl?uri=TED:NOTICE:531137-2021:TEXT:EN:HTML,2021,3,14-OCT-21,R209.S4,0,0,N,Staatliches Baumanagement Braunschweig,,An der Martinikirche 7,Braunschweig,38100,,DE,,N,,3,,Economical anf Financial Affairs,N,N,N,S,"DE91A,DE91B,DE912",N,,N,N,90910000,,8,90911300,N,,8,1503674.65,1503674.65,1503674.65,N,OPE,,0,L,,,,N,8,13546246,8,,N,N,Schuchmann & Reichert GmbH,,,Peine,,DE,Y,20 E 10553,"Amtsgericht, LGLN und AJSD Peine, LGLN und AJSD Wolfenbüttel sowie LGLN Salzgitter - Glasreinigung",6,3,0,0,6,6399,27195.35,27195.35,N,15-SEP-21
2020596671,ted.europa.eu/udl?uri=TED:NOTICE:596671-2020:TEXT:EN:HTML,2020,3,07-DEC-20,R209.S3,0,0,N,"Landeshauptstadt Düsseldorf, Der Oberbürgermeister, Rechtsamt",,Willi-Becker-Allee 10,Düsseldorf,40227,A2   ,DE,DE,N,,3,,General public\services,N,N,N,U,DEA11,N,,N,N,18143000,18143,3,18100000,Y,1,3,0.01,0.01,0.01,N,OPE,,0,M,"50,00",Qualität,"50,00",N,3,12280605,3,,N,N,Comitanda GmbH,,"Seiltgenweg, 21",Neukirchen-Vluyn,47506,DE,Y,3.1,Reinigung Dienstbekleidung,5,5,0,0,5,,0.01,0.01,N,07-NOV-20
2021170341,ted.europa.eu/udl?uri=TED:NOTICE:170341-2021:TEXT:EN:HTML,2021,3,01-APR-21,R209.S4,0,0,N,Bezirk Unterfranken – Baureferat,,Silcherstr. 5,Würzburg,97074,,DE,,N,,3,,General public\services,N,N,N,W,DE26B,N,,N,N,45000000,,,45262321,Y,,1,37987,37987,37987,N,OPE,,0,L,,,,N,1,12765945,,,N,N,YG Bau- und Baustoff GmbH,,Fienstedter Straße 2b,Salztal OT Wils,06198,DE,Y,352.2,Estricharbeiten 2,14,14,0,0,14,,37987,37987,N,08-MAR-21
2020587843,ted.europa.eu/udl?uri=TED:NOTICE:587843-2020:TEXT:EN:HTML,2020,3,02-DEC-20,R209.S3,0,0,N,Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik (AdöR),,Museumsinsel 1,München,80538,A2   ,DE,DE,N,,6,,Other,N,N,N,U,DE212,N,,N,N,30200000,30200,,,N,1,1,551628,551628,551628,N,NOC,,0,L,,,,N,1,12264253,,,N,N,SIGMA Audio-Visuell GmbH,,,Düsseldorf,40549,DE,N,19.203.01,Einkauf und Lieferung Hardware Medientechnik,3,0,0,0,3,,551628,551628,N,16-NOV-20
