ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
2018413753,ted.europa.eu/udl?uri=TED:NOTICE:413753-2018:TEXT:EN:HTML,2018,3,19-SEP-18,R209.S3,0,0,N,Országos Klinikai Idegtudományi Intézet,AK16501,Amerikai út 57.,Budapest,1145,A2   ,HU,HU,N,,6,,Health,N,N,N,U,HU110,N,,N,N,33100000,33100,4,33100000,N,1,20,249671.49,249671.49,249671.49,N,OPE,,0,L,,,,N,20,8971954,4,,N,N,HARTMANN-RICO Hungária Kft.,,Paul Hartmann u. 8.,Biatorbágy,2051,HU,N,1,Adásvételi szerződés,3,2,0,0,0,12192.29,32926.71,32926.71,N,30-AUG-18
201876065,ted.europa.eu/udl?uri=TED:NOTICE:76065-2018:TEXT:EN:HTML,2018,3,19-FEB-18,R209.S2,0,0,N,Eszterházy Károly Egyetem,AK23989,Eszterházy tér 1.,Eger,3300,A2   ,HU,HU,N,,8,,Education,N,N,N,U,HU312,N,,N,N,24000000,24000,6,38437000,Y,4,9,71667.35,64818.59,64818.59,Y,OPE,,0,L,,,,N,9,8560002,6,,N,N,VWR International Kft.,,Simon László u. 4.,Debrecen,4034,HU,Y,6,Általános laboreszközök,3,3,0,0,0,13452.91,13452.91,13452.91,N,01-FEB-18
2018270633,ted.europa.eu/udl?uri=TED:NOTICE:270633-2018:TEXT:EN:HTML,2018,3,22-JUN-18,R209.S2,0,0,N,Borsod-Abaúj-Zemplén Megyei Központi Kórház és Egyetemi Oktatókórház,AK24657,Szentpéteri kapu 72–76.,Miskolc,3526,A2   ,HU,HU,N,,8,,Health,N,N,N,U,HU311,N,,N,N,33100000,33100,14,33100000,Y,1,15,767773.4,753661.93,753661.93,N,OPE,,0,M,90,"Garancia mértéke (min. 12 hónap, maximum 36 hónap teljes körű garancia, előny a nagyobb)",10,N,15,8783121,14,,N,N,VMD Zrt.,,Fő utca 14–18. A. lház 3. em.,Budapest,1011,HU,N,1,VATS eszközök,1,0,0,0,0,16306.56,14111.44,14111.44,N,25-MAY-18
2022506544,ted.europa.eu/udl?uri=TED:NOTICE:506544-2022:TEXT:EN:HTML,2022,3,13-SEP-22,R209.S5,0,0,N,Jász-Nagykun-Szolnok Megyei Kormányhivatal,15789381213,Kossuth Lajos Út 2.,Szolnok,5000,,HU,,N,,6,,Other,N,N,N,S,HU322,Y,K,Y,N,90500000,,,90500000---19630000---90511300---90512000---90600000,Y,,1,246850.79,246850.79,246850.79,N,OPE,,0,M,90,Teljesítés megkezdése az eseti feladat megrendelésétől számítva (min. 3 munkanap - max. 10 munkanap),10,N,1,14887720,,,N,N,NHSZ Zounok Zártkörű Részvénytársaság,11264783216,József Attila  Út 85.,Szolnok,5000,HU,N,1,Illegális hulladék elszállítása JNSz megyében,2,0,0,0,2,,246850.79,246850.79,Y,02-SEP-22
2021523214,ted.europa.eu/udl?uri=TED:NOTICE:523214-2021:TEXT:EN:HTML,2021,3,12-OCT-21,R209.S4,0,0,N,Pécsi Tudományegyetem,19308681202,Vasvári Pál Utca 4.,Pécs,7622,,HU,,N,,6,,Other,N,N,N,U,HU231,N,,N,N,38000000,,9,38000000,N,,17,29586.9,29586.9,29586.9,Y,OPE,,0,M,90,"Hideg, fehér fényű (6300 K) illuminátor - Jótállás időtartama (min. 12, max. 24 hónap) ---Hideg, fehér fényű (6300 K) illuminátor dupla szálú optika fókuszáló lencsékkel - Jótállás időtartama (min. 12, max. 24 hónap) ",5---5,N,17,13529492,9,,N,N,"BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság",13547620213,Gyári Út 33,Szigetszentmiklós,2310,HU,Y,PTE/106165-6/2021,9-LED megvilágítás mikroszkópokhoz,2,2,0,0,2,,3363.83,3363.83,N,27-SEP-21
2022288904,ted.europa.eu/udl?uri=TED:NOTICE:288904-2022:TEXT:EN:HTML,2022,3,25-MAY-22,R209.S5,0,0,N,Központi Humánfejlesztési Nonprofit Korlátolt Felelősségű Társaság,EKRSZ_67470293,Hold Utca 1,Budapest,1054,,HU,,N,,1,,Health,N,N,N,U,HU11,N,,N,N,38000000,,2,38000000,N,,7,1002986.3,1002986.3,1002986.3,N,OPE,,0,M,80,"II. A kötelező 12 hónapon felüli többletjótállás mértéke (minimum: 0 hónap, maximum: 12 hónap)",20,N,7,14435991,2,,N,N,Frank Diagnosztika Korlátolt Felelősségű Társaság,EKRSZ_10732481,Dereglye Utca 2.,Budapest,1036,HU,Y,EBP/1016/2021,Hemopheresis és Őssejt beav.hoz szüks. berend. 2.,1,1,0,0,1,220350.33,220350.33,220350.33,N,15-NOV-21
2019179982,ted.europa.eu/udl?uri=TED:NOTICE:179982-2019:TEXT:EN:HTML,2019,3,12-APR-19,R209.S3,0,0,Y,Budapest XXI. Kerület Csepel Önkormányzata---Csepeli Városfejlesztési és Gazdaságfejlesztési Nonprofit Korlátolt Felelősségű Társaság,EKRSZ_65401426---EKRSZ_48222352,Szent Imre tér 10.---II. Rákóczi Ferenc út 88–92.,Budapest---Budapest,1211---1211,A2   ,HU,HU,N,,3,,General public\services,Y,Y,N,W,HU110,N,,N,N,45453100,45453,,45453100---71220000,Y,4,1,2127553.5,2127553.5,2127553.5,N,OPE,,0,M,66,"A kiépített konténerrendszer maradványértéke a szerződéskötéstől számított 24 hónap elteltével---A kiépített konténerrendszer maradványértéke a szerződéskötéstől számított 36 hónap elteltével---A mobil térrendszeren kívüli beruházásra vállalt jótállás időtartama (min. 24 hónap, legkedvezőbb vállalás 60 hónap)---A szerződés teljesítéséhez szükséges tervezési feladatok védett munkahellyel történő elvégeztetése---Az M.3. a) pontja szerinti alkalmassági követelmény teljesítésére bemutatott «MV-É» kategóriás felelős műszaki vezető alkalmassági minimumkövetelményen felüli szakmai gyakorlati ideje (0 és 120 hónap---M.3. b) pontja szerinti alk köv teljesítésére bemutatott táj- és környezet rendező szakmérnök (vagy azzal egyenértékű) képzettségű, szakember alk minimumköv felüli gyak ideje (0 és 120 hónap között)",2---2---15---7---4---4,N,1,10423514,,,N,N,"Ava-Pack Ipari, Kereskedelmi és Szolgáltató Kft.",EKRSZ_51726412,Soproni út 125.,Csorna,9300,HU,Y,1,Belső felújítás a volt FodorJ Szakképzőiskolában,1,1,0,0,1,2642258.07,2127553.5,2127553.5,Y,29-MAR-19
2021569216,ted.europa.eu/udl?uri=TED:NOTICE:569216-2021:TEXT:EN:HTML,2021,3,03-NOV-21,R209.S4,0,0,N,Nemzeti Sportközpontok,EKRSZ_82909725,Stefánia  Út 51.,Budapest,1143,,HU,,N,,8,,Other,N,N,N,S,HU110,N,K,Y,N,92370000,,,92370000,Y,,10,86506.47,86506.47,86506.47,N,OPE,,0,M,80,1 A stadionvision szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---2 A Goalsport szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---3 A Lutron szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---4 A Grand MA Lightning szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---5 A Osys sys UCI szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---6 A D&amp;B R1 szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---7 A Dante Control szoftver rendezvényen már alkalmazott felhasználási ismereteivel rendelkező az alkalmassági feltétel teljesítéséhez megajánlotton felüli többlet szakemberek száma(0-4 fő)---8 A teljesítés megkezdésére vállalt határidő a megrendelés leadásától számítva (min. 24 óra max. 120 óra),2---2---2---2---2---2---2---6,N,10,13631958,2,,N,N,Visual Europe Production Kft.,EKRSZ_49074055,Rákóczi út 99.,Hatvan,3000,HU,Y,8,Ceremónia Próba,1,1,0,0,1,,926.59,926.59,N,10-JUN-21
2018450006,ted.europa.eu/udl?uri=TED:NOTICE:450006-2018:TEXT:EN:HTML,2018,3,11-OCT-18,R209.S3,0,0,N,Nagykanizsai Városfejlesztő Korlátolt Felelősségű Társaság,AK24112,Erzsébet tér 20.,Nagykanizsa,8800,A2   ,HU,HU,N,,8,,Other,N,N,N,W,HU223,N,,Y,N,45200000,45200,1,45233142---45233262---45233253,N,4,3,1637517.64,1637517.64,1637517.64,N,OPE,,0,M,70,Környezetvédelmi-fenntarthatósági vállalások a kivitelezés vonatkozásában---M/2.1. pontnak megfelelő szakember mélyépítési munkák területén szerzett szakmai többlettapasztalata (hónap)---M/2.2. pontnak megfelelő szakember mélyépítési munkák területén szerzett szakmai többlettapasztalata (hónap)---M/2.3 pontnak megfelelő szakember mélyépítési munkákhoz kapcsolódó minőségbiztosítási vagy minőségügyi szakmai tapasztalata (hónap),12---6---6---6,N,3,9012641,1,,N,N,Szabadics Közmű és Mélyépítő Zrt.,,Jegenye sor 3.,Zalakaros,8749,HU,Y,1,Vállalkozási szerződés az Ady Endre utca sétálóutca kialakítására,1,1,0,0,0,512044.78,717764.75,717764.75,N,05-JUL-18
201822878,ted.europa.eu/udl?uri=TED:NOTICE:22878-2018:TEXT:EN:HTML,2018,3,16-JAN-18,R209.S2,0,0,N,Bács-Kiskun Megyei Kórház,AK00505,Nyíri út 38.,Kecskemét,6000,A2   ,HU,HU,N,,8,,Health,N,N,N,U,HU331,N,,N,N,33111720,33111,3.,33111720,N,1,159,1613046.98,1613046.98,1613046.98,N,OPE,,0,L,,,,N,159,8482640,3,,N,N,COOK Medical Hungary Kft.,,Népfürdő u. 22. B épület 13. em.,Budapest,1138,HU,N,4.,Hemodinamikai anyagok beszerzése konszignációs raktár üzemeltetésével 12 hónapra,1,0,0,0,0,1947.38,1947.38,1947.38,N,01-JAN-18
