ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
2019455684,ted.europa.eu/udl?uri=TED:NOTICE:455684-2019:TEXT:EN:HTML,2019,3,25-SEP-19,R209.S3,0,0,N,Istituto Nazionale di Fisica Nucleare,,Via E. Fermi 40,Frascati,00044,,IT,,N,,6,,Other,N,N,N,S,,N,,,N,98341140,,3,98341140,N,,3,5763337.44,4724047.1,4724047.1,N,OPE,,0,M,30,Offerta tecnica max punti,70,N,3,,,,N,,,,,,,,,,,,,,,,,,,,
2019606973,ted.europa.eu/udl?uri=TED:NOTICE:606973-2019:TEXT:EN:HTML,2019,3,17-DEC-19,R209.S3,0,0,N,Valle Camonica Servizi Vendite S.p.A.,,Via Mario Rigamonti 65,Darfo Boario Terme,25047,,IT,,N,,8,,Other,N,N,N,S,,N,,,N,45315500,,,,N,,1,372330.3,372330.3,372330.3,N,OPE,,0,M,25,Offerta tecnica,75,N,1,11059353,,,N,N,Esea 2G,,,Civitade Camuno (BS),,IT,N,,Manutenzione dei cogeneratori a gas metano e alle cabine di MT/BT presenti nelle centrali termiche di proprietà della società Valle Camonica Servizi vendite e in gestione alla stessa,1,,,,,397380,372330.3,372330.3,N,11-DEC-19
2019275647,ted.europa.eu/udl?uri=TED:NOTICE:275647-2019:TEXT:EN:HTML,2019,3,10-JUN-19,R209.S3,0,0,N,Friuli Venezia Giulia Strade S.p.A.,,Scala dei Cappuccini 1,Trieste,34131,,IT,,N,,6,,Other,N,N,N,S,,N,,,N,50110000,,3,50110000,N,,1,500000.0,40000,40000,N,OPE,,0,M,30,OFFERTA TECNICA,70,N,1,,,,N,,,,,,,,,,,,,,,,,,,,
2019501709,ted.europa.eu/udl?uri=TED:NOTICE:501709-2019:TEXT:EN:HTML,2019,3,22-OCT-19,R209.S3,0,0,N,Comune di Paderno Dugnano,,Via Grandi 15,Paderno Dugnano,20037,,IT,,N,,3,,General public\services,Y,N,Y,U,,N,,,N,44211000,,,,Y,,1,633441.6,633441.6,633441.6,N,COD,,0,M,30,Il prezzo non è il solo criterio di aggiudicazione e tutti i criteri sono indicati nei documenti di gara,70,N,1,10879067,,,N,N,Tomasino metalzinco S.r.l.,,C.da Passo Barbiere s.nc.,Cammarata (AG),92022,IT,Y,,Procedura aperta per l'appalto della fornitura in opera nuovo magazzino deposito prefabbricato per materiale e mezzi protezione civile.,3,,,,,677000,633441.6,633441.6,Y,17-SEP-19
2019479509,ted.europa.eu/udl?uri=TED:NOTICE:479509-2019:TEXT:EN:HTML,2019,3,08-OCT-19,R209.S3,0,0,N,Provincia di Latina,80003530591,Via A. Costa 1,Latina (LT),04100,,IT,,N,,R,,General public\services,N,N,N,S,,N,,,N,66510000,,3,66510000,N,,6,3404000.0,2689550,2689550,N,OPE,,0,M,30,Punteggio tecnico,70,N,6,10844012,3,,N,N,Aviva Italia S.p.A.,09197520159,Via Angelo Scarsellini 14,Milano,20161,IT,N,,All risks property,3,,,,3,,520000,520000,N,01-OCT-19
2019314921,ted.europa.eu/udl?uri=TED:NOTICE:314921-2019:TEXT:EN:HTML,2019,6,02-JUL-19,R209.S3,0,0,N,Società Metropolitana Acque Torino S.p.A.,,Corso XI Febbraio 14,Torino,10152,,IT,,N,,4,,Water,N,N,N,S,,N,,,N,90513900,,15,90513900,Y,,18,4162070.0,4162070,4162070,N,OPE,,0,L,,,,N,18,10605188,15,PROCUREMENT_UNSUCCESSFUL,N,,,,,,,,,15,Lotto 15,,,,,,,,0,,
2019113164,ted.europa.eu/udl?uri=TED:NOTICE:113164-2019:TEXT:EN:HTML,2019,3,06-MAR-19,R209.S3,0,0,N,Università degli studi «G. d&apos;Annunzio» Chieti/Pescara,,Via dei Vestini 31,Chieti,66100,,IT,,N,,8,,Education,N,N,N,S,,N,,,N,90510000,,,,Y,,1,582001.08,582001.08,582001.08,N,OPE,,0,M,,Offerta economicamente più vantaggiosa — offerta economica max 30 punti---Offerta economicamente più vantaggiosa — offerta tecnica max 70 punti,30---70,N,1,10339697,,,N,N,Eco transfer S.r.l.,,Via Mirtillo 259,Roma,00155,IT,Y,,Gara d’appalto a procedura aperta per l’affidamento del servizio di raccolta; trasporto e smaltimento finale di rifiuti speciali pericolosi e non pericolosi; e rifiuti potenzialmente infettivi; provenienti da processi di ricerca e di didattica.,3,,,,,840000,582001.08,582001.08,N,05-MAR-19
20196484,ted.europa.eu/udl?uri=TED:NOTICE:6484-2019:TEXT:EN:HTML,2019,3,04-JAN-19,R209.S3,0,0,N,ASL Città di Torino,,Via San Secondo 29,Torino,10128,,IT,,N,,3,,Health,N,N,N,U,,N,,,N,33190000,,3/46,33190000,Y,,35,7178947.0,1490686.26,1490686.26,N,OPE,,0,L,,,,N,35,10180882,3/46,,N,N,Betatex,,,Assisi,,IT,N,1638,Salvietta assorbente — CIG 76946187A4,2,,,,,1050,548,548,N,23-AUG-18
2019593890,ted.europa.eu/udl?uri=TED:NOTICE:593890-2019:TEXT:EN:HTML,2019,3,11-DEC-19,R209.S3,0,0,N,Consorzio di bonifica «Cellina Meduna»,,Via Matteotti 12,Pordenone,33170,,IT,,N,,3,,Other,N,N,N,W,,N,,,N,45232120,,,,N,,1,1755506.88,1755506.88,1755506.88,N,OPE,,0,L,,,,N,1,11036845,,,N,N,Ditta IGC S.p.A.,,Via Pietro Nenni 10,Maletto (CT),95035,IT,N,,Irrigazione nella bassa pordenonese nei Comuni di Cordovado; Morsano al Tagliamento; San Vito al Tagliamento e Sesto al Reghena (B.I. 021/08),117,,,,,2175516.93,1755506.88,1755506.88,N,05-DEC-19
2019370399,ted.europa.eu/udl?uri=TED:NOTICE:370399-2019:TEXT:EN:HTML,2019,3,01-AUG-19,R209.S3,0,0,N,Comune di Buscate,,Piazza San Mauro 1,Buscate,20010,,IT,,N,,3,,General public\services,N,N,N,S,,N,,,N,55524000,,,,N,,1,1071440.0,1071440,1071440,N,OPE,,0,M,30,Progetto tecnico,70,N,1,10691312,,,N,N,Sodexo Italia S.p.A.,,,Cinisello Balsamo (MI),,IT,N,,Gestione del servizio di ristorazione scolastica scuole infanzia; primarie e secondarie; anziani assistiti dal Comune di Buscate — CIG 759875964B,2,,,,,,1071440,1071440,N,12-JUL-19
